C1,A1,A2,A1B2,A1B1C2,A1B2C2,Y,Ycal,Yi-Ycal,Yi-Yexpprom
-1.0,-1.0,1.0,-1.0,1.0,-1.0,6.073,5.9199,0.1531,1.4991
-1.0,1.0,1.0,1.0,-1.0,1.0,2.447,2.0409,0.4061,-2.1269
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.559,1.8494,-0.2904,-3.0149
-1.0,1.0,1.0,1.0,1.0,1.0,5.745,6.1114,-0.3664,1.1711
1.0,-1.0,1.0,-1.0,1.0,-1.0,7.799,8.0482,-0.2492,3.2251
1.0,1.0,1.0,1.0,-1.0,1.0,3.667,4.1692,-0.5022,-0.9069
1.0,-1.0,1.0,-1.0,-1.0,-1.0,3.863,3.9777,-0.1147,-0.7109
1.0,1.0,1.0,1.0,1.0,1.0,8.201,8.2397,-0.0387,3.6271
2.0,0.0,0.0,0.0,0.0,0.0,5.777,4.9285,0.8485,1.2031
-2.0,0.0,0.0,0.0,0.0,0.0,0.832,0.6719,0.1601,-3.7419
0.0,0.0,0.0,0.0,0.0,0.0,3.267,2.8002,0.4668,-1.3069
0.0,0.0,0.0,0.0,-0.0,0.0,2.705,2.8002,-0.0952,-1.8689
0.0,2.0,4.0,0.0,0.0,0.0,14.853,13.713,1.14,10.2791
0.0,-2.0,4.0,-0.0,-0.0,-0.0,9.35,9.8418,-0.4918,4.7761
0.0,0.0,0.0,0.0,0.0,0.0,3.129,2.8002,0.3288,-1.4449
0.0,0.0,0.0,0.0,-0.0,0.0,2.973,2.8002,0.1728,-1.6009
0.0,1.5,2.25,0.0,0.0,0.0,8.642,9.3016,-0.6596,4.0681
0.0,-1.5,2.25,-0.0,-0.0,-0.0,6.511,6.3982,0.1128,1.9371
1.5,0.0,0.0,0.0,0.0,0.0,4.689,4.3964,0.2926,0.1151
-1.5,0.0,0.0,0.0,0.0,0.0,1.418,1.204,0.214,-3.1559
0.0,1.0,1.0,1.0,0.0,0.0,9.135,9.604,-0.469,4.5611
0.0,-1.0,1.0,-1.0,0.0,-0.0,0.016,0.485,-0.469,-4.5579
0.0,0.0,0.0,0.0,0.0,0.0,3.164,2.8002,0.3638,-1.4099
0.0,0.0,0.0,0.0,0.0,0.0,2.341,2.8002,-0.4592,-2.2329
0.0,0.0,0.0,0.0,0.0,0.0,3.15,2.8002,0.3498,-1.4239
0.0,0.0,0.0,0.0,0.0,0.0,2.789,2.8002,-0.0112,-1.7849
0.0,0.0,0.0,0.0,0.0,0.0,3.234,2.8002,0.4338,-1.3399
1.0,1.0,1.0,0.0,0.0,0.0,6.313,7.0765,-0.7635,1.7391
-1.0,-1.0,1.0,-0.0,-0.0,-0.0,4.354,3.0126,1.3414,-0.2199
1.0,0.0,0.0,0.0,0.0,0.0,3.671,3.8644,-0.1934,-0.9029
-1.0,0.0,0.0,0.0,-0.0,0.0,0.125,1.736,-1.611,-4.4489
